Object ID,Circularity Factor ,Total Intensity GFP,Mean Intensity GFP,Total Intensity mCherry,Mean Intensity mCherry,Total Intensity Brightfield,Mean Intensity Brightfield,Position ,Area ,Well ,Parent Object ID (Well),Parent Trace ID,R01,strain
10488,1.0673883,2136880.0,2178.2671,2710672.0,2763.1724,54374900.0,55428.031,1,981,8,7,-1,1,1
9747,1.0469952,2359887.8,2137.5796,3021936.2,2737.261,62378940.0,56502.664,1,1104,7,6,-1,1,1
8061,1.0998988,1820112.0,1961.3276,2180752.0,2349.9482,53279940.0,57413.73,1,928,6,5,-1,1,1
8557,1.0387157,3212544.0,2166.2468,3929840.0,2649.9258,84201048.0,56777.512,1,1483,6,5,-1,1,1
8292,1.1516617,1405872.0,2052.3679,1656096.0,2417.6584,40517244.0,59149.262,1,685,6,5,-1,1,1
10336,1.0403002,1985024.0,2157.6348,2491184.0,2707.8086,51088424.0,55530.895,1,920,7,6,-1,1,1
7149,1.054328,2199120.0,2090.4182,2809472.0,2670.6008,56784216.0,53977.391,1,1052,6,5,-1,1,1
9849,1.1203595,1254624.0,2358.3157,2173744.0,4085.9849,31918892.0,59997.918,1,532,7,6,-1,1,1
10952,1.0646149,1102064.0,2127.5366,1649952.0,3185.2356,28260608.0,54557.16,1,518,8,7,-1,1,1
11678,1.0339398,1815008.0,1928.8076,2162208.0,2297.7769,57428808.0,61029.551,1,941,8,7,-1,1,1
10087,1.0592284,1029952.0,1882.9104,1151552.0,2105.2139,31850058.0,58226.797,1,547,7,6,-1,1,1
9367,1.1658004,1212256.0,1764.5648,1387136.0,2019.1208,38322128.0,55781.844,1,687,7,6,-1,1,1
